Rk,Player,Tm,FantPos,Age,G,GS,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
254,Davis Allen,LAR,TE,24,17,5,39.0,62.8,65.8,50.8,,44,
255,Malik Davis,DAL,RB,27,10,0,39.0,40.6,43.6,39.6,,69,
256,Tre Harris,LAC,WR,23,17,10,39.0,69.4,72.4,54.4,,96,
257,Michael Mayer,LVR,TE,24,13,12,39.0,73.8,76.8,56.3,,45,
258,John Metchie,2TM,WR,25,16,7,39.0,71.9,74.9,55.4,,100,
259,Malik Nabers,NYG,WR,22,4,4,39.0,57.1,60.1,48.1,,98,
260,Cedric Tillman,CLE,WR,25,13,10,39.0,60.0,63.0,49.5,,99,
261,Kyle Williams,NWE,WR,23,17,0,39.0,49.2,52.2,44.2,,97,
262,Austin Hooper,NWE,TE,31,16,6,38.0,59.3,62.3,48.8,,46,
263,Brashard Smith,KAN,RB,22,17,1,38.0,63.3,69.3,50.8,,70,
264,Isaiah Bond,CLE,WR,21,16,2,37.0,54.7,57.7,45.7,,101,
265,Greg Dulcich,MIA,TE,25,10,3,37.0,62.8,66.8,49.8,,48,
266,Jackson Hawes,BUF,TE,25,17,8,37.0,52.7,55.7,44.7,,49,
267,Tim Patrick,JAX,WR,32,16,3,37.0,51.7,54.7,44.2,,102,
268,Tommy Tremble,CAR,TE,25,17,16,37.0,63.9,66.9,50.4,,47,
269,Rashod Bateman,BAL,WR,26,13,12,36.0,55.4,58.4,45.9,,103,
270,Audric Estime,NOR,RB,22,7,1,36.0,48.1,54.1,42.1,,71,
271,Travis Hunter,JAX,WR,22,7,4,36.0,63.8,66.8,49.8,,105,
272,Demarcus Robinson,SFO,WR,31,14,2,36.0,58.2,61.2,47.2,,104,
273,Isaiah Likely,BAL,TE,25,14,7,35.0,61.7,65.7,48.2,,50,
274,Tyreek Hill,MIA,WR,31,4,4,33.0,53.5,56.5,43.0,,108,
275,Kyle Juszczyk,SFO,FB,34,17,17,33.0,57.0,60.0,45.0,,72,
276,Jaylin Lane,WAS,WR,23,15,4,33.0,49.2,53.2,41.2,,106,
277,Isaiah Williams,NYJ,WR,24,15,2,33.0,58.7,62.7,45.7,,107,
278,Jahan Dotson,PHI,WR,25,17,10,32.0,50.2,53.2,41.2,,109,
279,Quinn Ewers,MIA,QB,22,4,3,32.0,33.2,39.2,35.7,,48,
280,Philip Rivers,IND,QB,44,3,3,32.0,31.7,37.7,34.7,,49,
281,Devontez Walker,BAL,WR,24,12,3,32.0,37.6,40.6,34.6,,110,
282,Taysom Hill,NOR,TE,35,13,5,31.0,41.8,45.8,36.3,,51,
283,Tyrell Shavers,BUF,WR,26,17,9,31.0,45.5,48.5,38.0,,112,
284,David Sills V,ATL,WR,29,17,4,31.0,49.1,52.1,40.1,,111,
285,Mitchell Trubisky,BUF,QB,31,4,0,31.0,31.1,34.1,31.1,,50,
286,Dyami Brown,JAX,WR,26,14,6,30.0,49.7,53.7,39.7,,117,
287,Christian Kirk,HOU,WR,29,13,3,30.0,57.9,60.9,43.9,,116,
288,Josh Palmer,BUF,WR,26,12,8,30.0,52.3,55.3,41.3,,113,
289,Jayden Reed,GNB,WR,25,7,3,30.0,48.5,51.5,39.0,,118,
290,Calvin Ridley,TEN,WR,31,7,6,30.0,47.3,50.3,38.8,,114,
291,Xavier Smith,LAR,WR,28,16,3,30.0,48.3,51.3,39.3,,115,
292,Mitchell Evans,CAR,TE,22,17,10,29.0,48.2,51.2,38.7,,52,
293,Tanner Hudson,CIN,TE,31,15,1,29.0,47.8,50.8,38.3,,53,
294,Riley Leonard,IND,QB,23,5,1,29.0,29.0,37.0,32.0,,51,
295,Brandin Cooks,2TM,WR,32,15,5,28.0,51.9,54.9,39.9,,120,
296,Brady Cook,NYJ,QB,24,5,4,28.0,28.5,39.5,35.5,,52,
297,Elijah Higgins,ARI,TE,25,17,10,28.0,58.1,62.1,43.1,,54,
298,Kendre Miller,NOR,RB,23,7,0,28.0,33.3,36.3,30.8,,73,
299,Chris Moore,WAS,WR,32,14,5,28.0,38.6,41.6,33.1,,121,
300,Jalen Tolbert,DAL,WR,26,13,8,28.0,46.3,49.3,37.3,,119,
301,Jaleel McLaughlin,DEN,RB,25,8,1,27.0,31.4,34.4,29.4,,74,
302,Roman Wilson,PIT,WR,24,13,4,27.0,38.6,42.6,32.6,,122,
303,Tyler Johnson,NYJ,WR,27,12,5,26.0,37.7,40.7,31.7,,123,
